,Year,State Code,Region,White Convicted,Other Convicted,Executions,Executions Scaled,State
395,2018,AL,South,2,0,2,1.6931471805599454,Alabama
396,2018,FL,South,1,1,2,1.6931471805599454,Florida
397,2018,GA,South,0,2,2,1.6931471805599454,Georgia
398,2018,NE,Midwest,1,0,1,1.0,Nebraska
399,2018,OH,Midwest,1,0,1,1.0,Ohio
400,2018,SD,Midwest,1,0,1,1.0,South Dakota
401,2018,TN,South,3,0,3,2.09861228866811,Tennessee
402,2018,TX,South,5,8,13,3.5649493574615367,Texas
403,2019,AL,South,2,1,3,2.09861228866811,Alabama
404,2019,FL,South,2,0,2,1.6931471805599454,Florida
405,2019,GA,South,0,3,3,2.09861228866811,Georgia
406,2019,MO,Midwest,1,0,1,1.0,Missouri
407,2019,SD,Midwest,1,0,1,1.0,South Dakota
408,2019,TN,South,3,0,3,2.09861228866811,Tennessee
409,2019,TX,South,5,4,9,3.1972245773362196,Texas
410,2020,AL,South,0,1,1,1.0,Alabama
411,2020,FE,Federal,5,3,8,3.0794415416798357,Federal
412,2020,GA,South,1,0,1,1.0,Georgia
413,2020,MO,Midwest,1,0,1,1.0,Missouri
414,2020,TN,South,1,0,1,1.0,Tennessee
415,2020,TX,South,2,1,3,2.09861228866811,Texas
416,1977,FE,Federal,0,0,0,0.0,Federal
417,1977,AL,South,0,0,0,0.0,Alabama
418,1977,AK,West,0,0,0,0.0,Alaska
419,1977,AZ,West,0,0,0,0.0,Arizona
420,1977,AR,South,0,0,0,0.0,Arkansas
421,1977,CA,West,0,0,0,0.0,California
422,1977,CO,West,0,0,0,0.0,Colorado
423,1977,CT,Northeast,0,0,0,0.0,Connecticut
424,1977,DE,South,0,0,0,0.0,Delaware
425,1977,FL,South,0,0,0,0.0,Florida
426,1977,GA,South,0,0,0,0.0,Georgia
427,1977,HI,West,0,0,0,0.0,Hawaii
428,1977,ID,West,0,0,0,0.0,Idaho
429,1977,IL,Midwest,0,0,0,0.0,Illinois
430,1977,IN,Midwest,0,0,0,0.0,Indiana
431,1977,IA,Midwest,0,0,0,0.0,Iowa
432,1977,KS,Midwest,0,0,0,0.0,Kansas
433,1977,KY,South,0,0,0,0.0,Kentucky
434,1977,LA,South,0,0,0,0.0,Louisiana
435,1977,ME,Northeast,0,0,0,0.0,Maine
436,1977,MD,South,0,0,0,0.0,Maryland
437,1977,MA,Northeast,0,0,0,0.0,Massachusetts
438,1977,MI,Midwest,0,0,0,0.0,Michigan
